lng,lat,station_name,type
103.784441,1.293629,Kent Ridge,MRT
103.781991,1.283149,Haw Par Villa,MRT
103.791893,1.276111,Pasir Panjang,MRT
103.802557,1.27218,Labrador Park,MRT
103.809878,1.270769,Telok Blangah,MRT
103.858998,1.281371,Bayfront,MRT
103.762452,1.37834,Bukit Panjang,MRT
103.764569,1.369997,Cashew,MRT
103.767371,1.363185,Hillview,MRT
103.775682,1.341607,Beauty World,MRT
103.783203,1.335721,King Albert Park,MRT
103.79718,1.331221,Sixth Avenue,MRT
103.807959,1.325826,Tan Kah Kee,MRT
103.825964,1.320012,Stevens,MRT
103.852581,1.303601,Rochor,MRT
103.852802,1.27949,Downtown,MRT
103.848584,1.282285,Telok Ayer,MRT
103.844621,1.291631,Fort Canning,MRT
103.849984,1.298477,Bencoolen,MRT
103.855443,1.305551,Jalan Besar,MRT
103.863098,1.313674,Bendemeer,MRT
103.871457,1.321479,Geylang Bahru,MRT
103.883304,1.326878,Mattar,MRT
103.898911,1.330008,Ubi,MRT
103.909057,1.335076,Kaki Bukit,MRT
103.918054,1.335268,Bedok North,MRT
103.93307,1.336595,Bedok Reservoir,MRT
103.938244,1.345583,Tampines West,MRT
103.955471,1.35631,Tampines East,MRT
103.961505,1.342218,Upper Changi,MRT
103.745286,1.380299,South View,LRT
103.749058,1.378604,Keat Hong,LRT
103.753665,1.376738,Teck Whye,LRT
103.758021,1.378798,Phoenix,LRT
103.762312,1.382852,Senja,LRT
103.764547,1.386703,Jelapang,LRT
103.769599,1.387713,Segar,LRT
103.770862,1.384502,Fajar,LRT
103.772576,1.380281,Bangkit,LRT
103.771277,1.376223,Pending,LRT
103.76655,1.377828,Petir,LRT
103.900443,1.394615,Compassvale,LRT
103.905947,1.391553,Rumbia,LRT
103.905412,1.38804,Bakau,LRT
103.90216,1.383957,Kangkar,LRT
103.897386,1.384116,Ranggung,LRT
103.89379,1.396332,Cheng Lim,LRT
103.889168,1.397178,Farmway,LRT
103.881283,1.398271,Kupang,LRT
103.87561,1.397378,Thanggam,LRT
103.876256,1.392033,Fernvale,LRT
103.880022,1.392141,Layar,LRT
103.885829,1.389519,Tongkang,LRT
103.890541,1.386827,Renjong,LRT
103.905792,1.399534,Cove,LRT
103.908884,1.397002,Meridian,LRT
103.912633,1.39392,Coral Edge,LRT
103.916056,1.39454,Riviera,LRT
103.916536,1.399633,Kadaloor,LRT
103.912736,1.402304,Oasis,LRT
103.908606,1.405293,Damai,LRT
103.90492,1.409808,Sam Kee,LRT
103.906565,1.412783,Teck Lee,LRT
103.90668,1.416932,Punggol Point,LRT
103.902185,1.415955,Samudera,LRT
103.900321,1.411865,Nibong,LRT
103.898605,1.408501,Sumang,LRT
103.897287,1.405436,Soo Teck,LRT
